house_id,area_sqft,bedrooms,bathrooms,location_score,age_years,distance_city_km,lot_size_sqft,has_garage,has_pool,renovation_years_ago,house_price_inr
100090,1984,5,3,5.7,28,14.3,4392,1,0,1,26109599
100091,1713,4,4,9.1,6,10.9,3387,1,0,0,35908822
100092,2280,5,3,8.7,17,11.4,4838,1,0,3,50013235
100093,1194,1,1,6.1,14,18.8,2341,0,0,14,16503162
100094,1437,3,2,2.7,9,26.3,2546,1,0,7,12979282
100095,1395,4,2,1.5,13,30.8,3424,1,0,4,9380360
100096,699,1,2,2.3,15,22.7,1528,1,0,14,4822779
100097,1842,3,3,5.2,7,34.3,5110,1,0,0,25639910
100098,1820,4,4,7,19,14.9,4860,0,0,13,31233563
100099,1653,3,1,3.6,27,27.5,3581,0,0,13,14515200
100100,1498,3,3,6.5,66,14.2,3531,0,0,13,20387219
100101,730,1,3,4.1,42,27.8,1041,1,0,19,5991933
100102,1377,2,1,6,18,9.2,2690,1,0,18,22127803
100103,1427,2,3,7,21,3.5,3147,0,0,11,26744300
100104,1129,3,2,4.1,29,22.5,1186,1,0,29,12071459
100105,1545,2,1,2.5,19,39.8,3488,0,0,0,8884965
100106,1913,3,2,4.2,22,29.6,2725,0,0,22,21670444
100107,2876,6,5,1.2,13,26.5,4286,1,0,2,23384456
100108,1763,5,3,4.7,21,24,2966,0,0,2,23395155
100109,1817,4,3,9.1,23,3.9,3601,1,1,17,39138320
100110,1602,3,3,5.7,9,20.5,1927,0,0,5,23816387
100111,450,1,1,3.2,29,28.4,1131,0,0,6,2323379
100112,1633,2,2,5.2,29,25,3440,0,0,3,20297446
100113,1689,4,3,3.7,30,14.5,5329,0,0,3,19706260
100114,3251,7,5,5.6,13,10.6,7087,1,1,1,45023844
100115,1525,3,2,7.3,47,12.6,3572,1,0,2,24186928
100116,1846,5,4,4.7,17,14.7,2746,0,0,8,25332217
100117,1627,3,2,1.9,10,22.6,2100,1,0,10,12622867
100118,890,3,3,5.8,45,19.2,2111,0,0,13,10333311
100119,2393,5,3,4.9,11,14.8,3216,1,0,5,31563700
100120,2139,4,4,2.1,25,42.2,5102,1,0,25,13403633
100121,2164,5,3,5.9,15,14.1,6544,1,0,4,31300735
100122,1059,2,2,8.8,7,7,2719,1,0,0,24397074
100123,2562,7,4,6,11,18.8,6001,1,0,11,39511096
100124,739,1,1,5.5,42,9.5,1597,1,0,8,9427296
100125,2031,4,2,7.2,21,16.5,3594,0,0,21,32073057
100126,3074,7,4,7,15,16,5937,1,0,5,52308876
100127,1006,2,2,4.9,18,18.2,1671,1,0,14,13194994
100128,1282,4,3,5.9,10,18.9,1552,0,0,1,20020900
100129,1715,5,4,3.4,12,27.4,3466,0,0,12,15116225
100130,1323,3,2,7.7,33,20.5,3525,0,0,2,24692739
100131,642,2,1,6.3,24,31.1,800,1,1,1,9023544
100132,1695,3,1,1.7,21,23.5,4812,0,0,1,13982334
100133,960,3,3,8.4,19,2,2621,1,0,8,19729755
100134,1958,5,5,8.6,7,9.8,4382,0,1,0,46101140
100135,1052,3,3,5.9,20,4.8,2360,0,0,20,15524849
100136,2657,5,4,7.5,33,16.4,5017,0,0,19,46997990
100137,1141,1,2,4.8,14,21.3,2311,0,0,14,14542026
100138,1441,4,4,2.5,20,29.7,2481,1,0,17,9503942
100139,2179,3,3,8.3,4,8.3,4399,0,1,0,37846975
100140,850,2,2,8.1,40,12.2,1771,0,0,20,13452887
100141,1798,5,3,3.8,47,26.4,5625,1,0,26,15516550
100142,2500,6,3,4.8,47,21.8,5848,1,1,27,24635062
100143,605,3,2,7.6,7,4.1,1134,1,0,0,13284966
100144,1770,5,4,5.4,35,19.8,3435,1,0,2,23050706
100145,1819,4,3,5.7,3,29,2860,1,0,0,26212040
100146,2158,5,5,6.9,36,15.7,3606,1,0,1,36719649
100147,846,2,2,7.4,21,13.6,2154,0,0,2,15262659
100148,792,1,2,6.8,17,24,1349,0,1,15,12525178
100149,1989,4,3,9.1,34,3.2,3241,1,0,10,43103886
100150,1843,4,3,8.1,22,16,3031,1,0,11,35947398
100151,1813,2,1,7,12,10.8,2833,1,0,12,29109891
100152,1875,4,2,5.4,30,25.3,5018,1,0,11,22967365
100153,1208,2,2,9.2,39,12.2,2519,1,0,6,20918771
100154,1801,3,2,6.8,33,12.1,3297,0,1,3,30708702
100155,1840,4,4,7.7,34,10.3,3712,1,0,4,32068145
100156,1186,3,3,4.4,10,27.7,2527,1,0,3,17232888
100157,2863,7,5,7.3,15,2,4442,0,0,0,56348515
100158,1958,4,5,7.4,24,10.1,2284,0,0,3,37141974
100159,876,2,2,6.5,44,19.2,2456,0,1,18,12618512
100160,2077,5,4,1.7,13,28.1,5385,1,0,13,15559326
100161,1016,3,2,6.3,43,16.9,2262,0,0,10,14964002
100162,2162,4,3,6.5,6,3.3,5516,1,0,0,39527395
100163,2403,6,5,3,40,20.9,7566,1,0,3,23325070
100164,1117,3,3,7,38,18.1,1875,1,0,9,16521197
100165,2276,5,2,8.7,58,4.4,3022,1,0,0,40809606
100166,1918,6,4,3.7,36,16.1,4597,0,0,22,21124369
100167,2184,4,4,8.3,25,16.5,2446,0,0,6,46254212
100168,2883,6,5,7.3,17,16.2,5832,1,0,2,50217829
100169,1490,3,3,8.4,16,3.3,2713,1,0,3,30554464
100170,1160,3,1,2.2,20,29.2,2789,1,0,19,7228992
100171,1072,1,1,6.1,16,10.4,1834,0,0,1,15114676
100172,1120,2,2,6.3,30,15.2,3046,1,0,26,14632217
100173,1600,3,3,8.4,35,10.9,2483,1,0,5,27988508
100174,1872,4,4,8.6,12,4.3,4537,1,0,3,40065825
100175,1830,5,3,4.5,36,26,2928,1,0,4,21339353
100176,2188,5,4,4.8,26,26,5096,0,0,5,28092171
100177,1658,2,2,7.4,18,14.4,2307,0,0,8,29827114
100178,2595,7,4,6.8,40,17.1,5152,1,0,9,40116060
100179,1478,4,1,5.5,13,9.8,4128,1,0,6,18988586
100180,3418,7,5,5.3,9,27.3,7072,1,0,6,42797532
100181,2057,5,4,7.3,13,12.6,5574,0,0,3,34642292
100182,1093,3,2,5.6,15,12.6,2169,1,1,5,17578908
100183,954,2,1,4.7,39,21.8,1619,1,0,6,10434467
100184,1964,5,4,4.8,65,25.1,4131,1,0,9,21933028
100185,1505,3,2,3.7,38,27,3568,1,0,1,14786512
100186,2114,4,3,5.3,22,12.6,1811,0,0,14,35203634
100187,1958,4,4,4.7,5,25.4,4530,1,0,0,25096759
100188,1603,2,1,5.8,14,17.2,2302,1,0,4,22656959
100189,1100,3,2,3.3,54,28.1,1416,0,0,6,6770200
100190,665,2,2,8.4,34,5,1545,0,0,29,12599116
100191,1360,3,3,3.1,5,32,3812,1,0,0,14241343
100192,2207,6,3,6.2,3,17.5,4701,1,0,0,34293551
100193,1789,4,4,7.8,33,18.7,2123,0,0,7,31244713
100194,840,1,1,6.1,44,7.5,1342,0,0,10,9892532
100195,1763,5,4,4.1,11,14.3,3084,1,0,11,19659449
100196,1900,3,2,5,13,18.6,4024,1,0,6,24730189
100197,1075,2,1,2.9,37,35.1,2104,1,0,2,6975878
100198,1750,3,3,5.1,18,31.5,4020,1,0,18,22369358
100199,1688,5,3,5.2,19,14.1,4389,1,0,13,26336725
100200,907,3,3,5,19,20.3,2002,1,0,8,12272573
100201,1883,5,3,5.2,23,20.3,4781,0,0,6,23733633
100202,2015,5,3,6.8,26,18.9,3704,1,1,7,35482055
100203,2354,5,5,3,57,31.3,9363,1,0,17,18648493
100204,2335,5,4,7,17,7.3,5445,1,0,0,39515595
100205,755,2,2,1.5,19,30.9,1820,0,0,19,3135199
100206,1040,3,3,8,10,1,3177,0,0,0,21034842
100207,1985,4,2,3.9,23,28.2,4075,0,0,10,20766388
100208,1984,4,4,9.4,39,4.8,3200,1,0,4,49777576
100209,1985,5,2,6.6,13,8,5526,1,0,11,32037511
100210,4154,7,4,5.9,12,19.3,11710,0,0,1,62180664
100211,2021,4,3,5.9,37,15.1,4228,1,0,8,29503281
100212,2388,5,4,6.7,26,22.5,7297,1,0,19,38254553
100213,2270,4,3,4.9,12,14.9,4427,0,0,7,29737088
100214,2073,3,2,2.8,23,39.9,5306,0,0,1,17454526
100215,1445,3,2,6,11,22.1,4204,1,0,0,21459949
100216,2143,5,3,6.7,17,22.6,4412,0,0,10,32968859
100217,1148,3,1,2.7,18,20.7,2611,0,0,1,11392984
100218,1496,2,2,5.9,36,28,3913,0,0,1,18274398
100219,1335,3,3,7.2,29,6.1,2377,1,1,6,25090692
100220,1703,2,3,4.8,38,19.3,2574,0,0,2,19313088
100221,3155,7,4,3.5,17,32.3,8833,1,0,2,28442629
100222,450,1,2,3.8,28,26.6,983,0,0,7,3039801
100223,2096,6,4,5.7,6,10.5,3556,1,0,0,30780285
100224,602,2,3,7.3,12,19.9,1238,0,0,2,9303832
100225,1343,2,3,7.3,9,15.1,3096,1,0,7,24639351
100226,2358,4,3,5,33,17.5,2496,1,0,3,31491904
100227,1692,4,3,9,51,1,4111,1,0,1,33530681
100228,949,1,2,5.8,19,20.2,2131,1,1,11,14470294
100229,1185,3,3,4.8,29,19.6,3547,1,0,9,15188570
100230,2092,4,3,5,29,20.9,3909,1,0,2,29697751
100231,1175,1,1,2.6,49,17.7,3321,0,0,9,7015123
100232,1791,2,2,7.6,17,9.7,3534,1,1,17,31703721
100233,1680,4,4,7.6,22,15.1,3500,1,0,22,32829132
100234,1226,2,3,6.5,12,26.8,2659,0,0,8,19860259
100235,3044,6,3,5.5,10,17.3,9911,1,0,1,36263793
100236,2062,5,3,6.5,31,24.2,2591,0,0,6,27771465
100237,450,2,3,9,14,12.7,1034,1,1,0,11103961
100238,1771,4,2,7.7,14,13.3,3587,0,0,5,36745979
100239,1220,2,2,1.4,27,24.7,2419,1,0,24,5754100
100240,2204,5,3,2.4,18,22,5179,0,0,6,19744745
100241,1135,1,2,5.2,32,23.1,3023,0,0,8,13377337
100242,1575,4,2,7.4,32,9.6,3652,0,0,2,28572411
100243,1978,5,4,6.3,24,12.4,5422,1,0,0,34948721
100244,2213,5,4,5.9,22,16.2,4093,0,1,22,35808633
100245,870,1,1,4,51,22,1715,0,0,4,7741572
100246,1433,3,1,5,20,25.4,2005,1,0,3,17185959
100247,1341,2,1,5.9,33,14.3,4277,0,0,8,18348323
100248,1225,3,2,4.5,11,26.3,2313,0,0,11,14735700
100249,2798,7,5,1,22,34.6,5097,1,0,3,15225983
100250,1913,5,3,2.6,33,17.2,4522,1,0,7,17616171
100251,830,1,1,3.9,12,25.1,2211,0,0,4,7111388
100252,2247,5,4,7.1,20,1,3561,1,0,7,44576781
100253,3029,7,5,6.1,21,11.3,8215,1,0,2,41554751
100254,2321,5,4,2.7,13,29.7,4220,1,0,7,19155373
100255,662,2,2,7.5,14,12.4,1892,0,0,0,12204082
100256,1335,3,2,8.8,11,1,2237,0,0,11,28427533
100257,2473,5,3,5.9,5,10.6,6037,0,0,0,43330581
100258,1190,2,3,7,11,1,2410,0,0,11,19544554
100259,1938,3,2,9.4,23,1,2566,1,0,9,42041283
100260,2154,5,4,4.3,15,25.6,2478,0,0,2,21483908
100261,1047,3,4,7.3,20,9.8,1627,1,0,7,19151893
100262,1611,5,3,3.4,22,25.8,4181,1,0,11,15793662
100263,450,2,2,4.6,19,21.3,800,0,0,5,4305638
100264,984,3,4,3.4,33,25,2165,1,0,8,9039696
100265,1486,3,2,9,61,14.1,3192,1,0,2,30441008
100266,839,1,2,1.6,12,29,831,0,0,12,4733075
100267,2711,7,4,3.8,36,29.1,4126,0,0,24,30424235
100268,720,2,1,1.9,13,14.4,1095,1,0,4,5483805
100269,1364,3,3,1.3,26,37.8,2771,1,0,16,7544831
100270,1735,4,4,4.6,9,13.5,4996,1,1,1,25600650
100271,2587,6,5,7,25,7.6,6843,1,0,3,40147309
100272,717,3,3,6,17,12.8,1279,0,0,6,11465852
100273,2406,6,4,4.8,16,27.1,3615,1,0,5,31695185
100274,1657,4,4,7.4,23,7.5,1765,0,0,10,27363739
100275,1012,3,2,8.2,11,6.5,1794,0,0,8,18441053
100276,1950,5,4,8.5,11,3.7,2848,1,0,1,41626015
100277,1779,4,3,7.1,17,15.2,3519,0,0,1,29984696
100278,1260,3,3,5.3,36,23.6,2521,0,0,1,13557674
100279,1695,3,3,2.4,17,38,2906,0,0,17,12620477
100280,1400,4,2,9.2,61,21.8,2418,1,0,10,29671591
100281,1724,3,2,7.3,71,17,2730,1,0,19,23537925
100282,2080,5,4,8,20,13.2,3520,0,1,8,40464458
100283,2681,5,2,6,50,9.7,7672,1,1,2,44526567
100284,845,2,2,8.1,12,22.2,1953,0,0,10,14530748
100285,3036,7,5,2.2,22,29.7,7040,1,0,7,26851872
100286,450,1,1,7.8,24,9.9,1173,1,0,5,7701038
100287,1551,4,2,6.6,29,17.5,3961,0,0,5,23677708
100288,2032,4,4,6.7,8,11.1,5801,1,0,8,31072326
100289,1833,5,5,7.4,23,1,4313,1,0,10,30882910
100290,1245,3,3,5.7,42,21.3,2643,1,0,2,14930615
100291,1515,4,3,7.8,4,19.7,2493,1,0,0,31108627
100292,1330,2,2,3.8,12,26.9,2002,1,0,10,16426677
100293,1267,2,2,4.9,42,20.3,3205,0,0,8,16916446
100294,2202,5,4,1.8,14,29.7,4257,0,0,14,15914449
100295,1882,5,4,4.3,23,23.1,2228,1,0,2,22314594
100296,1200,4,4,5.2,27,20.2,893,0,0,25,14340264
100297,2235,4,5,8.8,12,8.2,7350,0,1,3,52406464
100298,1850,5,3,3.5,10,24.7,2606,1,0,3,17876729
100299,2178,3,2,3.1,18,35,3459,0,0,17,18194835
100300,2059,4,2,5.5,38,21.3,5635,1,0,4,28661309
100301,1111,2,3,2.2,23,29,1416,1,0,18,7660560
100302,1286,2,1,2.4,10,31.8,2982,1,0,4,9189320
100303,2136,3,1,7.9,33,15.3,6607,0,0,8,37864954
100304,2047,5,4,5.7,10,23.6,6690,1,0,3,29097669
100305,1636,3,4,8.3,26,5.6,2833,0,0,13,29337677
100306,1726,4,3,3.1,19,22.8,3440,1,0,2,15728620
100307,2480,6,4,5.4,16,13.9,4370,1,0,16,31043983
100308,1265,3,3,6.1,18,21.3,2516,0,1,5,19980393
100309,2006,5,5,5.7,19,22.2,5575,1,1,6,29349571
100310,1519,3,2,7.4,21,5.2,1763,0,0,0,24774237
100311,1509,2,2,4.8,24,22.9,3605,1,0,24,16497013
100312,2364,6,4,9.4,36,15,4451,1,0,17,46250041
100313,2187,4,2,7.1,54,12.3,6170,1,0,6,33281604
100314,2179,4,3,6.4,21,17.7,6078,0,0,21,37013044
100315,2499,5,4,3.2,34,29.8,4388,1,0,27,22334179
100316,1664,3,3,1,22,24.1,3217,1,0,8,9375072
100317,2093,4,3,6.9,17,15.2,5307,1,0,3,40614753
100318,1448,3,3,6.9,25,21.9,3750,1,0,7,23721414
100319,1861,4,3,3.8,8,20,961,1,0,4,19531278
100320,1565,3,2,6.1,11,21.7,3965,1,0,6,23744352
100321,1713,3,2,7.3,9,13.3,5118,0,0,9,30002690
100322,2037,5,4,1.7,24,25.9,4386,0,0,3,16456281
100323,1118,3,3,5.8,5,17,2873,0,0,0,14720354
100324,3010,7,5,5.9,9,14.1,8329,1,1,9,52392832
100325,996,3,2,3.6,6,18.9,2124,0,0,0,9844070
100326,861,3,2,6.8,21,13.1,2143,1,0,7,15221857
100327,2403,4,5,6.6,16,15.6,4824,1,0,8,37927143
100328,2165,5,4,1.4,18,29.8,4262,1,0,17,15647192
100329,2056,5,4,3.1,26,24.1,3296,0,0,0,19966742
100330,2058,4,3,6.6,20,16.6,4330,0,0,13,34347932
100331,1642,4,3,5,17,23.2,5143,0,0,8,19621788
100332,1067,3,2,3.7,5,17,1556,1,0,0,14043688
100333,1699,4,3,4.9,26,18.8,4027,0,0,15,26557209
100334,1210,2,1,7.1,5,1.9,2653,0,1,0,26316210
100335,2284,6,3,3,23,25,6589,1,0,23,20287607
100336,1554,3,2,5.7,80,18.8,4658,1,1,12,18697047
100337,1113,3,3,5.9,29,20.7,1609,0,0,9,14193982
100338,1441,3,2,6.2,14,17.3,2386,0,1,7,21262689
100339,1918,4,4,5.8,35,20.9,3238,0,0,2,28097730
100340,1284,3,1,8.8,59,9,2195,1,0,10,25757754
100341,1116,2,1,5.6,38,14.1,1965,0,0,13,14578823
100342,1808,6,5,5.9,45,10.6,3992,1,0,0,23300276
100343,1809,3,2,7.5,12,10.9,2694,0,0,5,32980686
100344,1320,2,2,4.6,16,16.6,2077,1,0,16,17008586
100345,1344,3,4,7.9,31,10.6,2050,0,0,10,26427352
100346,1801,4,3,5.8,20,14.6,4134,1,0,10,27478195
100347,709,1,1,4.7,11,23.4,1391,1,0,3,8642397
100348,735,2,2,3.4,29,25.1,1364,1,0,10,5936291
100349,1183,3,1,6.9,31,17,1768,1,0,15,18392609
100350,1511,3,2,3.2,17,28.1,1568,1,0,5,17082893
100351,1852,5,4,6.3,10,15,5517,0,0,2,32301653
100352,2609,6,5,6.5,15,14.8,4766,1,0,1,44555593
100353,2207,6,5,3.7,16,26.9,8003,0,0,7,25467516
100354,1546,3,2,4.4,23,36.5,3809,1,0,12,16253572
100355,1638,4,3,6.8,9,8.7,5074,0,0,2,28631551
100356,998,2,3,7.4,19,13.1,2591,0,0,5,18042435
100357,1638,3,2,8.1,15,3.5,3432,1,0,8,30477776
100358,1462,4,3,6.5,29,15.4,2400,1,0,2,22489438
100359,1860,4,3,8.8,80,4.6,2630,1,0,3,31113419
100360,1112,3,3,7.5,23,11.8,2971,1,1,9,22731699
100361,1988,4,4,4.9,20,21.2,4292,1,0,13,27160175
100362,2646,7,4,6.8,26,11.7,6271,0,0,10,46942436
100363,1579,3,2,5.4,32,8.1,3930,0,0,13,20692972
100364,1911,4,3,8.2,2,19,4230,1,0,0,37365064
100365,2099,5,4,6.6,20,20.2,3604,1,0,18,33414274
100366,1389,3,2,2.4,34,27,3622,1,0,18,11059414
100367,1796,5,4,7.7,7,6.5,3378,1,0,0,38483237
100368,1658,3,3,7.3,23,13.6,3406,1,0,9,25274595
100369,1713,5,4,3.6,36,26.4,4163,1,0,36,16009077
100370,1148,3,3,5,57,24.6,2255,1,0,0,12430778
100371,1666,3,2,4.1,25,27.9,1515,0,0,2,15322880
100372,1974,4,4,7.2,29,19.7,5180,1,0,17,36162641
100373,2593,6,4,6.3,28,5.7,7138,1,0,18,40296420
100374,2274,5,4,5.7,8,16.1,2050,1,0,8,35478991
100375,3050,6,5,5.3,70,25.1,4191,1,0,21,38121214
100376,1151,2,1,4.8,26,15.1,3700,0,0,5,13805428
100377,2217,4,3,6.6,18,22.5,4743,0,0,18,31348580
100378,1769,5,4,2.2,42,39.3,3542,0,0,2,11408482
100379,3073,6,5,2.3,13,35.2,5360,1,0,13,23098540
100380,1125,3,2,5.5,28,22.5,1554,1,0,8,14739708
100381,1104,3,2,2,17,26.3,2079,1,0,2,8641862
100382,1260,2,2,6.5,13,17.2,3257,1,1,13,19325805
100383,450,1,2,9.3,21,1,896,0,1,4,11001465
100384,1308,4,2,2.3,23,23.4,3095,0,0,2,11051871
100385,1157,2,1,7,20,9.7,3540,0,1,2,21270273
100386,1748,5,4,8.3,74,10.5,2887,1,0,0,32209596
100387,1872,5,4,6.7,23,12.5,4084,0,0,14,27045279
100388,2870,7,5,5.9,17,18.9,7470,1,0,7,39277687
100389,2268,5,4,7.4,23,18.1,3267,0,0,23,41107373
100390,1275,2,1,2.2,32,24.1,2686,1,0,6,9060913
100391,1066,2,1,6.9,27,15.2,3330,0,0,19,13978618
100392,1970,5,3,2.6,50,24.7,3538,1,0,34,15540315
100393,792,2,2,4.9,25,21.4,2092,1,0,0,8774351
100394,2840,5,3,5.1,4,23.8,5440,1,0,0,37873542
100395,2417,5,3,4.2,23,27.9,7444,0,0,4,30603042
100396,1345,3,1,3.8,23,27.6,1362,0,0,20,13574108
100397,536,1,1,5.7,37,20.4,1093,1,0,18,5405100
100398,2530,7,5,3.1,5,17.2,2815,1,0,0,28357302
100399,1576,4,4,4.1,29,16.2,2489,1,0,2,18053563
100400,2455,7,6,2.2,34,23.5,3869,1,0,16,18888651
100401,614,1,1,6,23,19.2,1130,1,0,9,9040131
100402,1260,4,2,6.1,32,9,1622,0,1,0,21523817
100403,1653,5,4,2.5,11,29.5,3235,1,0,11,13750929
100404,1681,5,4,3.2,35,27,3826,1,0,31,14652646
100405,1357,2,2,5.4,10,7.2,1467,0,0,0,20611522
100406,2055,4,2,4.7,14,14.4,3327,1,0,3,24991318
100407,956,2,1,9.5,31,12.8,3370,1,0,17,22085816
100408,1557,4,3,6.5,61,19.7,3422,1,0,9,20345772
100409,1728,4,3,7.3,55,8,1571,1,0,45,26853325
100410,1984,4,4,5.2,26,13.2,2301,1,0,25,29237114
100411,2113,5,4,6.3,7,1.4,4512,1,1,0,32644279
100412,919,1,1,3.9,15,32.1,1894,0,0,11,8063806
100413,653,3,2,1,18,32.2,1076,1,0,11,3041793
100414,2480,5,4,8.5,3,20.8,8224,0,0,0,43617041
100415,1866,4,3,9.4,10,5.6,6664,0,0,1,42665233
100416,1163,2,2,8.9,36,10,2142,0,0,8,25449753
100417,2658,7,5,8,53,16.3,6708,1,0,5,52880443
100418,1725,2,2,1,39,41.8,4405,0,0,8,6428898
100419,2417,5,4,6.9,15,17.3,6365,0,0,3,41324650
100420,1694,4,3,1.1,31,31.7,2737,1,0,8,9811312
100421,2989,6,4,6.4,21,16,9456,0,0,5,52910846
100422,2791,7,6,8,10,4.7,5467,1,0,10,54486954
100423,1488,3,3,7,25,11.7,3353,1,0,4,24218516
100424,2282,6,4,7.7,30,12.2,4567,1,1,20,45837715
100425,2069,5,4,3.3,11,33.4,3965,1,0,5,21699630
100426,2540,7,4,2,8,26.4,5504,1,0,8,21800429
100427,1023,2,1,1.4,15,37.2,1318,1,0,3,5183974
100428,2096,4,3,4.2,43,21.9,1713,1,0,17,21706487
